method,osint_level,tp,fp,fn,tn,tpr,fpr,precision,f1,accuracy,auc_roc
A_RSS,Low,52,1,0,154618,1.0,6e-06,0.981132,0.990476,0.999994,1.0
A_RSS,Medium,52,1,0,154618,1.0,6e-06,0.981132,0.990476,0.999994,1.0
A_RSS,High,0,1,52,154618,0.0,6e-06,0.0,0.0,0.999657,0.111656
A_RSS,All,104,1,52,154618,0.666667,6e-06,0.990476,0.796935,0.999658,0.703946
B_Auth,Low,52,0,0,154619,1.0,0.0,1.0,1.0,1.0,
B_Auth,Medium,21,0,31,154619,0.403846,0.0,1.0,0.575342,0.9998,
B_Auth,High,0,0,52,154619,0.0,0.0,0.0,0.0,0.999664,
B_Auth,All,73,0,83,154619,0.467949,0.0,1.0,0.637555,0.999464,
C_Hybrid,Low,52,1,0,154618,1.0,6e-06,0.981132,0.990476,0.999994,
C_Hybrid,Medium,52,1,0,154618,1.0,6e-06,0.981132,0.990476,0.999994,
C_Hybrid,High,0,1,52,154618,0.0,6e-06,0.0,0.0,0.999657,
C_Hybrid,All,104,1,52,154618,0.666667,6e-06,0.990476,0.796935,0.999658,
